2015-01-02,223.25,213.26,222.87,219.31,4764400,219.31
2015-01-05,216.5,207.16,214.55,210.09,5368500,210.09
2015-01-06,214.2,204.21,210.06,211.28,6261900,211.28
2015-01-07,214.78,209.78,213.35,210.95,2968400,210.95
2015-01-08,213.8,210.01,212.81,210.62,3442500,210.62
2015-01-09,209.98,204.96,208.92,206.66,4591300,206.66
2015-01-12,204.47,199.25,203.05,202.21,5944200,202.21
2015-01-13,207.61,200.91,203.32,204.25,4477300,204.25
2015-01-14,195.2,185,185.83,192.69,11551900,192.69
2015-01-15,195.75,190,194.49,191.87,5216500,191.87
2015-01-16,194.49,189.65,190.7,193.07,3603200,193.07
2015-01-20,194.12,187.04,193.87,191.93,4489400,191.93
2015-01-21,198.68,189.51,189.55,196.57,4153000,196.57
2015-01-22,203.24,195.2,197,201.62,4116900,201.62
2015-01-23,203.5,198.33,200.29,201.29,3438600,201.29
2015-01-26,208.62,201.05,201.83,206.55,3234500,206.55
2015-01-27,208.03,203.3,204.42,205.98,2781000,205.98
2015-01-28,206.37,198.42,206.11,199.37,3149600,199.37
2015-01-29,205.98,196.5,201.07,205.2,3548100,205.2
2015-01-30,207.47,203,203.96,203.6,3007000,203.6
2015-02-02,211.95,203.3,203.97,210.94,4149200,210.94
2015-02-03,220.37,211.27,213.22,218.36,4812900,218.36
2015-02-04,221.48,216.8,218.29,218.55,3305400,218.55
2015-02-05,225.48,219.64,219.88,220.99,3522900,220.99
2015-02-06,223.4,216.5,222,217.36,3233200,217.36
2015-02-09,217.93,211.99,215.38,217.48,3472400,217.48
2015-02-10,220.5,215,217.55,216.29,5390500,216.29
2015-02-11,214.74,207.28,212.21,212.8,9769100,212.8
2015-02-12,203.09,193.28,193.57,202.88,15649600,202.88
2015-02-13,205.99,200.91,202.9,203.77,6191000,203.77
2015-02-17,205.7,201.5,205.7,204.35,3979600,204.35
2015-02-18,206.17,202.6,204.17,204.46,2708800,204.46
2015-02-19,212.44,203.75,205,211.71,5154100,211.71
2015-02-20,217.6,209.81,210.78,217.11,5982100,217.11
2015-02-23,218.2,206.33,215.66,207.34,8499800,207.34
2015-02-24,207.29,201.7,207.29,204.11,6584900,204.11
2015-02-25,207.14,202.58,204.94,203.76,3909500,203.76
2015-02-26,211.09,202.22,204,207.19,6472900,207.19
2015-02-27,208.55,202.8,206.9,203.34,3882100,203.34
2015-03-02,203.34,195.83,202.7,197.33,7922100,197.33
2015-03-03,200.24,195.32,196.81,199.56,4432300,199.56
2015-03-04,202.52,197.21,199.25,202.44,4212000,202.44
2015-03-05,206.19,200.15,202.85,200.63,4877000,200.63
2015-03-06,200.75,192.15,199.21,193.88,6712400,193.88
2015-03-09,194.49,188.25,194.39,190.88,6736700,190.88
2015-03-10,193.5,187.6,188.46,190.32,5530900,190.32
2015-03-11,196.18,191.01,191.15,193.74,4974900,193.74
2015-03-12,194.45,189.75,193.75,191.07,4149300,191.07
2015-03-13,191.75,187.32,188.95,188.68,5434300,188.68
2015-03-16,195.91,189.8,192,195.7,5628800,195.7
2015-03-17,198.71,193.94,195.43,194.73,4883200,194.73
2015-03-18,200.88,193.11,194.96,200.71,4756300,200.71
2015-03-19,204.59,194.53,202,195.65,8475200,195.65
2015-03-20,198.99,195.62,197.45,198.08,4269500,198.08
2015-03-23,200.5,197.47,198.5,199.63,2620900,199.63
2015-03-24,203.79,199.75,201.58,201.72,3649900,201.72
2015-03-25,198.59,192.7,198.27,194.3,5730400,194.3
2015-03-26,194.79,189.7,193.92,190.41,4128000,190.41
2015-03-27,189.29,181.4,189.07,185,8526900,185
2015-03-30,192.25,181.8,185.85,190.57,10089500,190.57
2015-03-31,193.76,188.41,193.53,188.77,5026600,188.77
2015-04-01,192.3,186.05,188.7,187.59,3786000,187.59
2015-04-02,193.23,190,190.23,191,5010400,191
2015-04-06,207.75,197.5,198,203.1,12455800,203.1
2015-04-07,205.06,201.14,202.51,203.25,4347900,203.25
2015-04-08,210.9,205.87,208.2,207.67,6303100,207.67
2015-04-09,210.37,206.12,208.43,210.09,3800200,210.09
2015-04-10,211.65,209,209.85,210.9,4067700,210.9
2015-04-13,213,209.05,210.44,209.78,3758200,209.78
2015-04-14,209.49,205.5,208.57,207.46,3017000,207.46
2015-04-15,209.59,206.6,207.46,207.83,1952400,207.83
2015-04-16,209.17,206.29,207.7,206.7,1659100,206.7
2015-04-17,206.88,203.5,204.99,206.79,2469900,206.79
2015-04-20,207.85,203.85,206.78,205.27,2554700,205.27
